id,name,deck,first_appeared_in_game,site_detail_url,games,friends,enemies,locations,concepts,objects
48673,	Beil,,Shining Force Feather,https://www.giantbomb.com/beil/3005-48673/,Shining Force Feather,Miriam; Alfin; Cocot; Grizeria; Jin; Julius; Pipin; Rush; Teeda; Valvazan,Lavinia; Syuho,,Centaurs,Spear
48674,	Miriam,,Shining Force Feather,https://www.giantbomb.com/miriam/3005-48674/,Shining Force Feather,Beil; Alfin; Cocot; Grizeria; Jin; Julius; Pipin; Rush; Teeda; Valvazan,Lavinia; Syuho,,Air Manipulation; Elf,Arrow; Bow
30358, Ai Nikaidou,A character in Irotoridori no Sekai.,Irotoridori no Sekai,https://www.giantbomb.com/ai-nikaidou/3005-30358/,Akai Hitomi ni Utsuru Sekai; Irotoridori no Hikari; Irotoridori no Sekai,Shinku Nikaidou; Yuuma Kanoue,,,,
33976, Amakusa Shiro Tokisada,A Japanese Christian martyr,Live a Live,https://www.giantbomb.com/amakusa-shiro-tokisada/3005-33976/,Monster Strike; Full Bokko Heroes X; Toukiden: The Age of Demons; Live a Live,,Yagyū Jūbei Mitsuyoshi,Japan,Christianity; Decapitation; Heroic Sacrifice,
55023, Bāo Zhěng,"A legendary historical politician known in China for his fairness, benevolence, and attentiveness to justice, the latter of which earned him the nickname Bāo Qīngtiān or ""Justice Bao"".",Bāo Qīngtiān,https://www.giantbomb.com/bao-zheng/3005-55023/,Bāo Qīngtiān; Impartial Judge; Bāo Qīngtiān,Gōngsūn Cè; Zhǎn Zhāo,,China,Politician,
56668, Basilio Magnus,"Basilio is member of the Paripus tribe. He and his older brother, Fidelio, are prominent members of Louis Guiabern's entourage and are tasked with protecting Junah.",Metaphor: ReFantazio,https://www.giantbomb.com/basilio-magnus/3005-56668/,Metaphor: ReFantazio,Eiselin Hulkenberg; Euphausia Etoreika; Fidelio Magnus; Gallica; Heismay Noctule; Juani Cygnus; Leon Strohl; Louis Guiabern,Louis Guiabern,,,
40630, Bunty,Supporting character from Chicken Run and the most skeptical of Ginger’s Escape Plans.,Chicken Run,https://www.giantbomb.com/bunty/3005-40630/,Chicken Run,Bunty; Babs; Fowler; Ginger; Rocky,Mr. Tweedy; Mrs. Tweedy,England; Farm; United Kingdom,Chicken; Overweight Character,
35410, Christy Ryan,a Time Crisis 2 character,Time Crisis 2,https://www.giantbomb.com/christy-ryan/3005-35410/,Time Crisis 2,Keith Martin; Robert Baxter,Robert Baxter,,,
35408, Jakov Kinisky,Jakov Kinisky is a villain from Time Crisis 2,Time Crisis 2,https://www.giantbomb.com/jakov-kinisky/3005-35408/,Time Crisis 2,,Keith Martin; Robert Baxter,,,
35442, Luke O'Neil ,Luke O'Neil is one of the protagonists of Time Crisis 5.,Time Crisis 5,https://www.giantbomb.com/luke-oneil/3005-35442/,Time Crisis 5,Keith Martin,Robert Baxter,,,
35441, Marc Godart ,Marc Godart is one of the protagonists of Time Crisis 5.,Time Crisis 5,https://www.giantbomb.com/marc-godart/3005-35441/,Time Crisis 5,Keith Martin,Robert Baxter,,,
34567, Memoca ,,Wadanohara and the Great Blue Sea,https://www.giantbomb.com/memoca/3005-34567/,Wadanohara and the Great Blue Sea,Wadanohara,Sal,,Birds,
48567, Ninomae Ina'nis,,Counter:Side,https://www.giantbomb.com/ninomae-inanis/3005-48567/,Idol Showdown; ChikuTaku; HoloCure; Valkyrie Connect; Counter:Side,Amelia Watson; Gawr Gura; Houshou Marine; Inugami Korone; IRyS; Juufuutei Raden; La+ Darknesss; Momosuzu Nene; Mori Calliope; Nekomata Okayu; Shirakami Fubuki; Takanashi Kiara; Tsunomaki Watame; Usada Pekora,,,,Tentacles
47162,-null-,Null is a character in No Man's Sky that tries to bring Artemis back to life.,No Man's Sky,https://www.giantbomb.com/null/3005-47162/,No Man's Sky,Artemis; Traveller,,Euclid Galaxy; Space Anomaly,Travellers,
30900,'Cunning' Black Bird,,Off the Wall,https://www.giantbomb.com/cunning-black-bird/3005-30900/,Off the Wall,,Kung Fu Lu,The Great Wall of China,Birds,
6631,'M,'M is the second glitch Pokemon found in the Pokemon games.,Pokémon Red/Blue,https://www.giantbomb.com/m/3005-6631/,Pokémon Red/Blue,Charizard 'M; MissingNo.; Pikachu; PkMnaPkMnfPkMnk; Pokémon Trainer,,Cinnabar Island; Kanto; Viridian City,Bird-type Pokémon; Glitch; Glitch Pokémon; Normal-type Pokémon; Pokémon,Poké Ball
11820,'Splosion Man,"The title character of the XBLA game 'Splosion Man. A dangerous folly of man (and science!), originally designed as a weapon, this 'Splosion without a cause fights his way through the ranks of Big Science Labs in a last ditch bid for freedom the only way he knows how, 'Splodin'.",'Splosion Man,https://www.giantbomb.com/splosion-man/3005-11820/,"Retro City Rampage; Ms. Splosion Man; Xbox Live Hits Collection: Limbo,Trials HD and Splosion Man; Pinball FX2; 'Splosion Man",Ms. Splosion Man,Danklefsen,Big Science Labs Inc.; Laboratory; Research Facility,Avatar Awards; Catch Phrase; Experiments Gone Awry; Explosion; Explosion Immunity; Happy Killing; Idle Animations; Mad Scientist; Triple Jump; Victory Pose; Wall Jump,Doughnut; Explosives; Steak
32665,'Til Death,'Til Death was Peter Griffin's mentally retarded horse,Family Guy: The Quest for Stuff,https://www.giantbomb.com/til-death/3005-32665/,Family Guy: The Quest for Stuff,Peter Griffin,,Kentucky,Cartoon Character; Horses; Licensed Game,
